A,B,weight
DONALBAIN,LADY MACBETH,1
DONALBAIN,LENNOX,1
DONALBAIN,MACDUFF,1
SERVANT,MACBETH,1
SERVANT,SOLDIERS,1
THIRD WITCH,MACBETH,4
THIRD WITCH,BANQUO,1
SOLDIERS,MACBETH,2
SECOND APPARITION,MACBETH,1
LENNOX,MACBETH,2
LENNOX,MACDUFF,3
LENNOX,MALCOLM,1
LENNOX,BANQUO,1
LENNOX,SEYWARD,1
LENNOX,FLEANCE,3
LENNOX,DUNCAN,2
MACDUFF,MACBETH,7
MACDUFF,WIFE,3
MACDUFF,MACDUFF,2
MACDUFF,MALCOLM,4
MACDUFF,LORD,1
MACDUFF,FIRST APPARITION,1
MACDUFF,ROSS,1
HECAT,MACBETH,2
HECAT,FIRST WITCH,1
DOCTOR,MACBETH,3
DOCTOR,GENTLEWOMAN,1
MALCOLM,WIFE,1
MALCOLM,MACBETH,7
MALCOLM,ROSS,1
MALCOLM,SEYWARD,2
MALCOLM,DUNCAN,1
LADY MACBETH,WIFE,1
LADY MACBETH,BANQUO,2
LADY MACBETH,DUNCAN,3
THIRD MURDERER,MACBETH,1
BANQUO,MACBETH,12
BANQUO,FIRST WITCH,1
BANQUO,FLEANCE,1
BANQUO,DUNCAN,3
FIRST WITCH,MACBETH,4
LORD,SEYWARD,1
LORD,DUNCAN,1
FIRST APPARITION,MACBETH,1
FLEANCE,MACBETH,4
DUNCAN,MACBETH,8
DUNCAN,ROSS,2
SEYTON,MACBETH,1
WIFE,MACBETH,1
WIFE,ROSS,1
MACBETH,MACBETH,5
MACBETH,SECOND WITCH,1
MACBETH,THIRD APPARITION,1
MACBETH,CAPTAIN,1
MACBETH,MURDERERS,1
MACBETH,ROSS,2
